patient_text,symptoms,training_text,disease,risk_hint,category
"Patient reports swollen glands, fever and sore throat since 5 days.",swollen glands|fever|sore throat,"Patient reports swollen glands, fever and sore throat since 5 days. Symptoms: swollen glands, fever, sore throat",Mononucleosis-like Illness,MEDIUM,Infectious
"I have been noticing sore throat, ear pain and dizziness over the past 3 days.",sore throat|ear pain|dizziness,"I have been noticing sore throat, ear pain and dizziness over the past 3 days. Symptoms: sore throat, ear pain, dizziness",Ear Infection,MEDIUM,ENT
"My symptoms are hard to describe, mostly pain around my spleen region for 3 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 3 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I have been noticing sneezing and congestion over the past 4 days.,sneezing|congestion,"I have been noticing sneezing and congestion over the past 4 days. Symptoms: sneezing, congestion",Allergic Rhinitis,LOW,Allergy
"Patient reports fever, wheezing, chest pain and bloating since 3 days.",fever|wheezing|chest pain|bloating,"Patient reports fever, wheezing, chest pain and bloating since 3 days. Symptoms: fever, wheezing, chest pain, bloating",Bronchitis,MEDIUM,Respiratory
"These symptoms started 2 days ago: cough, headache, body ache and dizziness.",cough|headache|body ache|dizziness,"These symptoms started 2 days ago: cough, headache, body ache and dizziness. Symptoms: cough, headache, body ache, dizziness",Influenza,MEDIUM,Respiratory
"Over the last 1 week, I am experiencing dizziness, headache, nausea and bloating.",dizziness|headache|nausea|bloating,"Over the last 1 week, I am experiencing dizziness, headache, nausea and bloating. Symptoms: dizziness, headache, nausea, bloating",Migraine,LOW,Neurology
"I have dizziness, headache, nausea and sensitivity to light for 5 days.",dizziness|headache|nausea|sensitivity to light,"I have dizziness, headache, nausea and sensitivity to light for 5 days. Symptoms: dizziness, headache, nausea, sensitivity to light",Migraine,LOW,Neurology
"I have nausea, dehydration and diarrhea for 5 days.",nausea|dehydration|diarrhea,"I have nausea, dehydration and diarrhea for 5 days. Symptoms: nausea, dehydration, diarrhea",Gastroenteritis,MEDIUM,GI
There is pain near my spleen area for 2 days.,left upper abdominal pain,There is pain near my spleen area for 2 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"For 1 day, my back has been aching after physical strain.",back pain|body ache|stiffness,"For 1 day, my back has been aching after physical strain. Symptoms: back pain, body ache, stiffness",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Since 2 days, I have had heartburn, bloating, abdominal pain, appetite loss, nausea and dizziness.",heartburn|bloating|abdominal pain|appetite loss|nausea|dizziness,"Since 2 days, I have had heartburn, bloating, abdominal pain, appetite loss, nausea and dizziness. Symptoms: heartburn, bloating, abdominal pain, appetite loss, nausea, dizziness",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Over the last 1 day, I am experiencing nausea, headache and congestion.",nausea|headache|congestion,"Over the last 1 day, I am experiencing nausea, headache and congestion. Symptoms: nausea, headache, congestion",Dengue-like Viral Fever,MEDIUM,Fever
"My main problems are body ache, stiffness and fatigue and it started 2 days ago.",body ache|stiffness|fatigue,"My main problems are body ache, stiffness and fatigue and it started 2 days ago. Symptoms: body ache, stiffness, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have high blood sugar along with frequent urination, fatigue and blurred vision for 2 days.",frequent urination|fatigue|high blood sugar|blurred vision,"I have high blood sugar along with frequent urination, fatigue and blurred vision for 2 days. Symptoms: frequent urination, fatigue, high blood sugar, blurred vision",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Over the last 3 days, I am experiencing dizziness, sensitivity to light, headache, nausea and heartburn.",dizziness|sensitivity to light|headache|nausea|heartburn,"Over the last 3 days, I am experiencing dizziness, sensitivity to light, headache, nausea and heartburn. Symptoms: dizziness, sensitivity to light, headache, nausea, heartburn",Migraine,LOW,Neurology
"Since 3 days, I have had runny nose and sneezing.",runny nose|sneezing,"Since 3 days, I have had runny nose and sneezing. Symptoms: runny nose, sneezing",Allergic Rhinitis,LOW,Allergy
"Since 5 days, I have had dehydration, nausea and abdominal pain.",dehydration|nausea|abdominal pain,"Since 5 days, I have had dehydration, nausea and abdominal pain. Symptoms: dehydration, nausea, abdominal pain",Gastroenteritis,MEDIUM,GI
"Patient reports fatigue, chest pain, wheezing, shortness of breath, cough and excessive thirst since 2 days.",fatigue|chest pain|wheezing|shortness of breath|cough|excessive thirst,"Patient reports fatigue, chest pain, wheezing, shortness of breath, cough and excessive thirst since 2 days. Symptoms: fatigue, chest pain, wheezing, shortness of breath, cough, excessive thirst",Asthma Exacerbation,HIGH,Respiratory
"Patient reports swollen glands, headache, fever and fatigue since 4 days.",swollen glands|headache|fever|fatigue,"Patient reports swollen glands, headache, fever and fatigue since 4 days. Symptoms: swollen glands, headache, fever, fatigue",Mononucleosis-like Illness,MEDIUM,Infectious
"These symptoms started 2 days ago: runny nose, cough, sore throat and sneezing.",runny nose|cough|sore throat|sneezing,"These symptoms started 2 days ago: runny nose, cough, sore throat and sneezing. Symptoms: runny nose, cough, sore throat, sneezing",Common Cold,LOW,Respiratory
"I have nausea, appetite loss, right lower abdominal pain, fever, abdominal pain and vomiting and the discomfort has been there for 1 week.",nausea|appetite loss|right lower abdominal pain|fever|abdominal pain|vomiting,"I have nausea, appetite loss, right lower abdominal pain, fever, abdominal pain and vomiting and the discomfort has been there for 1 week. Symptoms: nausea, appetite loss, right lower abdominal pain, fever, abdominal pain, vomiting",Appendicitis Concern,HIGH,GI
"Over the last 5 days, I am experiencing fatigue, chills and body ache.",fatigue|chills|body ache,"Over the last 5 days, I am experiencing fatigue, chills and body ache. Symptoms: fatigue, chills, body ache",Influenza,MEDIUM,Respiratory
"These symptoms started 2 days ago: shortness of breath, fatigue and fever.",shortness of breath|fatigue|fever,"These symptoms started 2 days ago: shortness of breath, fatigue and fever. Symptoms: shortness of breath, fatigue, fever",Pneumonia,HIGH,Respiratory
"I have been noticing cough, fever, shortness of breath and fatigue over the past 1 day.",cough|fever|shortness of breath|fatigue,"I have been noticing cough, fever, shortness of breath and fatigue over the past 1 day. Symptoms: cough, fever, shortness of breath, fatigue",Pneumonia,HIGH,Respiratory
"Patient reports back pain, body ache and fatigue since 4 days.",back pain|body ache|fatigue,"Patient reports back pain, body ache and fatigue since 4 days. Symptoms: back pain, body ache, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Since 1 day, I have had headache, nausea and fatigue.",headache|nausea|fatigue,"Since 1 day, I have had headache, nausea and fatigue. Symptoms: headache, nausea, fatigue",Dengue-like Viral Fever,MEDIUM,Fever
"Patient reports fatigue, cough, chest pain and shortness of breath since 1 week.",fatigue|cough|chest pain|shortness of breath,"Patient reports fatigue, cough, chest pain and shortness of breath since 1 week. Symptoms: fatigue, cough, chest pain, shortness of breath",Asthma Exacerbation,HIGH,Respiratory
"Since 5 days, I have had sneezing, itchy eyes, congestion and dizziness.",sneezing|itchy eyes|congestion|dizziness,"Since 5 days, I have had sneezing, itchy eyes, congestion and dizziness. Symptoms: sneezing, itchy eyes, congestion, dizziness",Allergic Rhinitis,LOW,Allergy
"For the last 4 days, I have been dealing with vomiting and back pain.",vomiting|back pain,"For the last 4 days, I have been dealing with vomiting and back pain. Symptoms: vomiting, back pain",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Over the last 4 days, I am experiencing dehydration, nausea, diarrhea, vomiting, abdominal pain and stiffness.",dehydration|nausea|diarrhea|vomiting|abdominal pain|stiffness,"Over the last 4 days, I am experiencing dehydration, nausea, diarrhea, vomiting, abdominal pain and stiffness. Symptoms: dehydration, nausea, diarrhea, vomiting, abdominal pain, stiffness",Gastroenteritis,MEDIUM,GI
"Patient reports fever, fatigue, cough, chest pain, shortness of breath and headache since 1 day.",fever|fatigue|cough|chest pain|shortness of breath|headache,"Patient reports fever, fatigue, cough, chest pain, shortness of breath and headache since 1 day. Symptoms: fever, fatigue, cough, chest pain, shortness of breath, headache",Pneumonia,HIGH,Respiratory
"For the last 1 week, I have been dealing with body ache, fever and heartburn.",body ache|fever|heartburn,"For the last 1 week, I have been dealing with body ache, fever and heartburn. Symptoms: body ache, fever, heartburn",Dengue-like Viral Fever,MEDIUM,Fever
"Since 1 week, I have had fever, sore throat, headache, swollen glands and fatigue.",fever|sore throat|headache|swollen glands|fatigue,"Since 1 week, I have had fever, sore throat, headache, swollen glands and fatigue. Symptoms: fever, sore throat, headache, swollen glands, fatigue",Mononucleosis-like Illness,MEDIUM,Infectious
"I have diarrhea, vomiting, dehydration and nausea for 4 days.",diarrhea|vomiting|dehydration|nausea,"I have diarrhea, vomiting, dehydration and nausea for 4 days. Symptoms: diarrhea, vomiting, dehydration, nausea",Gastroenteritis,MEDIUM,GI
"Patient reports headache, fatigue, swollen glands, fever and sore throat since 4 days.",headache|fatigue|swollen glands|fever|sore throat,"Patient reports headache, fatigue, swollen glands, fever and sore throat since 4 days. Symptoms: headache, fatigue, swollen glands, fever, sore throat",Mononucleosis-like Illness,MEDIUM,Infectious
"I have been noticing fever, frequent urination, burning urination and back pain over the past 3 days.",fever|frequent urination|burning urination|back pain,"I have been noticing fever, frequent urination, burning urination and back pain over the past 3 days. Symptoms: fever, frequent urination, burning urination, back pain",Urinary Tract Infection,MEDIUM,Genitourinary
"For the last 4 days, I have been dealing with shortness of breath, fever, cough, chest pain and fatigue.",shortness of breath|fever|cough|chest pain|fatigue,"For the last 4 days, I have been dealing with shortness of breath, fever, cough, chest pain and fatigue. Symptoms: shortness of breath, fever, cough, chest pain, fatigue",Pneumonia,HIGH,Respiratory
"I have been noticing sore throat, facial pain and congestion over the past 1 day.",sore throat|facial pain|congestion,"I have been noticing sore throat, facial pain and congestion over the past 1 day. Symptoms: sore throat, facial pain, congestion",Sinusitis,LOW,Respiratory
"Over the last 3 days, I am experiencing fever, headache, sore throat and blurred vision.",fever|headache|sore throat|blurred vision,"Over the last 3 days, I am experiencing fever, headache, sore throat and blurred vision. Symptoms: fever, headache, sore throat, blurred vision",Ear Infection,MEDIUM,ENT
"Patient reports fever, headache, sore throat and excessive thirst since 3 days.",fever|headache|sore throat|excessive thirst,"Patient reports fever, headache, sore throat and excessive thirst since 3 days. Symptoms: fever, headache, sore throat, excessive thirst",Mononucleosis-like Illness,MEDIUM,Infectious
There is blood in my urine with sharp side pain for 5 days.,vomiting|blood in urine|burning urination|back pain,"There is blood in my urine with sharp side pain for 5 days. Symptoms: vomiting, blood in urine, burning urination, back pain",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Over the last 1 day, I am experiencing vomiting, nausea and excessive thirst.",vomiting|nausea|excessive thirst,"Over the last 1 day, I am experiencing vomiting, nausea and excessive thirst. Symptoms: vomiting, nausea, excessive thirst",Gastroenteritis,MEDIUM,GI
"Over the last 4 days, I am experiencing shortness of breath, fatigue, wheezing and cough.",shortness of breath|fatigue|wheezing|cough,"Over the last 4 days, I am experiencing shortness of breath, fatigue, wheezing and cough. Symptoms: shortness of breath, fatigue, wheezing, cough",Asthma Exacerbation,HIGH,Respiratory
"For the last 5 days, I have been dealing with abdominal pain, heartburn, nausea, appetite loss and bloating.",abdominal pain|heartburn|nausea|appetite loss|bloating,"For the last 5 days, I have been dealing with abdominal pain, heartburn, nausea, appetite loss and bloating. Symptoms: abdominal pain, heartburn, nausea, appetite loss, bloating",Gastritis / Acid Peptic Disorder,MEDIUM,GI
I have localized pain under the left ribs for 1 day.,left upper abdominal pain,I have localized pain under the left ribs for 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I have been noticing stiffness and body ache over the past 4 days.,stiffness|body ache,"I have been noticing stiffness and body ache over the past 4 days. Symptoms: stiffness, body ache",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have been noticing shortness of breath, cough and headache over the past 1 day.",shortness of breath|cough|headache,"I have been noticing shortness of breath, cough and headache over the past 1 day. Symptoms: shortness of breath, cough, headache",Pneumonia,HIGH,Respiratory
"For the last 3 days, I have been dealing with headache and sensitivity to light.",headache|sensitivity to light,"For the last 3 days, I have been dealing with headache and sensitivity to light. Symptoms: headache, sensitivity to light",Migraine,LOW,Neurology
"I have dehydration, diarrhea, vomiting, abdominal pain and nausea for 1 day.",dehydration|diarrhea|vomiting|abdominal pain|nausea,"I have dehydration, diarrhea, vomiting, abdominal pain and nausea for 1 day. Symptoms: dehydration, diarrhea, vomiting, abdominal pain, nausea",Gastroenteritis,MEDIUM,GI
"Over the last 4 days, I am experiencing body ache, fatigue, chills and blurred vision.",body ache|fatigue|chills|blurred vision,"Over the last 4 days, I am experiencing body ache, fatigue, chills and blurred vision. Symptoms: body ache, fatigue, chills, blurred vision",Influenza,MEDIUM,Respiratory
"My main problems are frequent urination, back pain and fever and it started 5 days ago.",frequent urination|back pain|fever,"My main problems are frequent urination, back pain and fever and it started 5 days ago. Symptoms: frequent urination, back pain, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"For the last 4 days, I have been dealing with nausea, abdominal pain, vomiting, dehydration and diarrhea.",nausea|abdominal pain|vomiting|dehydration|diarrhea,"For the last 4 days, I have been dealing with nausea, abdominal pain, vomiting, dehydration and diarrhea. Symptoms: nausea, abdominal pain, vomiting, dehydration, diarrhea",Gastroenteritis,MEDIUM,GI
"I have bloating, heartburn, nausea, appetite loss and abdominal pain for 5 days.",bloating|heartburn|nausea|appetite loss|abdominal pain,"I have bloating, heartburn, nausea, appetite loss and abdominal pain for 5 days. Symptoms: bloating, heartburn, nausea, appetite loss, abdominal pain",Gastritis / Acid Peptic Disorder,MEDIUM,GI
I have flank pain and blood in my urine for 4 days.,burning urination|nausea|back pain|blood in urine|vomiting,"I have flank pain and blood in my urine for 4 days. Symptoms: burning urination, nausea, back pain, blood in urine, vomiting",Kidney Stone / Renal Colic,HIGH,Genitourinary
There is pain near my spleen area for 1 week.,left upper abdominal pain,There is pain near my spleen area for 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I have cough and sneezing for 5 days.,cough|sneezing,"I have cough and sneezing for 5 days. Symptoms: cough, sneezing",Common Cold,LOW,Respiratory
I have flank pain and blood in my urine for 1 week.,blood in urine|back pain,"I have flank pain and blood in my urine for 1 week. Symptoms: blood in urine, back pain",Kidney Stone / Renal Colic,HIGH,Genitourinary
"These symptoms started 1 day ago: sneezing, runny nose and cough.",sneezing|runny nose|cough,"These symptoms started 1 day ago: sneezing, runny nose and cough. Symptoms: sneezing, runny nose, cough",Common Cold,LOW,Respiratory
"I have fever, back pain, frequent urination and heartburn for 1 week.",fever|back pain|frequent urination|heartburn,"I have fever, back pain, frequent urination and heartburn for 1 week. Symptoms: fever, back pain, frequent urination, heartburn",Urinary Tract Infection,MEDIUM,Genitourinary
"Patient reports itchy eyes, runny nose and sneezing since 2 days.",itchy eyes|runny nose|sneezing,"Patient reports itchy eyes, runny nose and sneezing since 2 days. Symptoms: itchy eyes, runny nose, sneezing",Allergic Rhinitis,LOW,Allergy
"My main problems are nausea, headache and excessive thirst and it started 5 days ago.",nausea|headache|excessive thirst,"My main problems are nausea, headache and excessive thirst and it started 5 days ago. Symptoms: nausea, headache, excessive thirst",Migraine,LOW,Neurology
"These symptoms started 1 day ago: appetite loss, nausea and abdominal pain.",appetite loss|nausea|abdominal pain,"These symptoms started 1 day ago: appetite loss, nausea and abdominal pain. Symptoms: appetite loss, nausea, abdominal pain",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Patient reports fever, fatigue and cough since 3 days.",fever|fatigue|cough,"Patient reports fever, fatigue and cough since 3 days. Symptoms: fever, fatigue, cough",Bronchitis,MEDIUM,Respiratory
"Over the last 4 days, I am experiencing itchy eyes, sneezing, runny nose and congestion.",itchy eyes|sneezing|runny nose|congestion,"Over the last 4 days, I am experiencing itchy eyes, sneezing, runny nose and congestion. Symptoms: itchy eyes, sneezing, runny nose, congestion",Allergic Rhinitis,LOW,Allergy
"Patient reports fatigue, cough, chest pain and wheezing since 5 days.",fatigue|cough|chest pain|wheezing,"Patient reports fatigue, cough, chest pain and wheezing since 5 days. Symptoms: fatigue, cough, chest pain, wheezing",Bronchitis,MEDIUM,Respiratory
"My main problems are fever, shortness of breath and fatigue and it started 5 days ago.",fever|shortness of breath|fatigue,"My main problems are fever, shortness of breath and fatigue and it started 5 days ago. Symptoms: fever, shortness of breath, fatigue",Pneumonia,HIGH,Respiratory
"For the last 2 days, I have been dealing with bloating, nausea, heartburn, abdominal pain and appetite loss.",bloating|nausea|heartburn|abdominal pain|appetite loss,"For the last 2 days, I have been dealing with bloating, nausea, heartburn, abdominal pain and appetite loss. Symptoms: bloating, nausea, heartburn, abdominal pain, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have back pain, burning urination, frequent urination and fever for 1 week.",back pain|burning urination|frequent urination|fever,"I have back pain, burning urination, frequent urination and fever for 1 week. Symptoms: back pain, burning urination, frequent urination, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"I have dizziness, sensitivity to light and nausea for 1 week.",dizziness|sensitivity to light|nausea,"I have dizziness, sensitivity to light and nausea for 1 week. Symptoms: dizziness, sensitivity to light, nausea",Migraine,LOW,Neurology
I have been noticing blood in urine and burning urination over the past 5 days.,blood in urine|burning urination,"I have been noticing blood in urine and burning urination over the past 5 days. Symptoms: blood in urine, burning urination",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have nausea, rash and excessive thirst for 1 day.",nausea|rash|excessive thirst,"I have nausea, rash and excessive thirst for 1 day. Symptoms: nausea, rash, excessive thirst",Dengue-like Viral Fever,MEDIUM,Fever
"For the last 1 day, I have been dealing with nausea and body ache.",nausea|body ache,"For the last 1 day, I have been dealing with nausea and body ache. Symptoms: nausea, body ache",Dengue-like Viral Fever,MEDIUM,Fever
"I have itchy eyes, runny nose and excessive thirst for 3 days.",itchy eyes|runny nose|excessive thirst,"I have itchy eyes, runny nose and excessive thirst for 3 days. Symptoms: itchy eyes, runny nose, excessive thirst",Allergic Rhinitis,LOW,Allergy
"Over the last 1 week, I am experiencing burning urination, vomiting, back pain and heartburn.",burning urination|vomiting|back pain|heartburn,"Over the last 1 week, I am experiencing burning urination, vomiting, back pain and heartburn. Symptoms: burning urination, vomiting, back pain, heartburn",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have swollen glands, fatigue and headache for 2 days.",swollen glands|fatigue|headache,"I have swollen glands, fatigue and headache for 2 days. Symptoms: swollen glands, fatigue, headache",Mononucleosis-like Illness,MEDIUM,Infectious
"These symptoms started 5 days ago: cough, shortness of breath and fatigue.",cough|shortness of breath|fatigue,"These symptoms started 5 days ago: cough, shortness of breath and fatigue. Symptoms: cough, shortness of breath, fatigue",Asthma Exacerbation,HIGH,Respiratory
"My main problems are fever, nausea, rash, headache and body ache and it started 1 week ago.",fever|nausea|rash|headache|body ache,"My main problems are fever, nausea, rash, headache and body ache and it started 1 week ago. Symptoms: fever, nausea, rash, headache, body ache",Dengue-like Viral Fever,MEDIUM,Fever
"I have vomiting, appetite loss, abdominal pain, right lower abdominal pain and dizziness and the discomfort has been there for 1 week.",vomiting|appetite loss|abdominal pain|right lower abdominal pain|dizziness,"I have vomiting, appetite loss, abdominal pain, right lower abdominal pain and dizziness and the discomfort has been there for 1 week. Symptoms: vomiting, appetite loss, abdominal pain, right lower abdominal pain, dizziness",Appendicitis Concern,HIGH,GI
"I have abdominal pain, right lower abdominal pain and appetite loss and the discomfort has been there for 4 days.",abdominal pain|right lower abdominal pain|appetite loss,"I have abdominal pain, right lower abdominal pain and appetite loss and the discomfort has been there for 4 days. Symptoms: abdominal pain, right lower abdominal pain, appetite loss",Appendicitis Concern,HIGH,GI
"For the last 2 days, I have been dealing with frequent urination, blurred vision and fatigue.",frequent urination|blurred vision|fatigue,"For the last 2 days, I have been dealing with frequent urination, blurred vision and fatigue. Symptoms: frequent urination, blurred vision, fatigue",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
I am feeling pain in back of the spleen from past 1 day.,left upper abdominal pain,I am feeling pain in back of the spleen from past 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing wheezing, fatigue and chest pain over the past 2 days.",wheezing|fatigue|chest pain,"I have been noticing wheezing, fatigue and chest pain over the past 2 days. Symptoms: wheezing, fatigue, chest pain",Bronchitis,MEDIUM,Respiratory
"These symptoms started 2 days ago: nausea, diarrhea, dehydration, vomiting and abdominal pain.",nausea|diarrhea|dehydration|vomiting|abdominal pain,"These symptoms started 2 days ago: nausea, diarrhea, dehydration, vomiting and abdominal pain. Symptoms: nausea, diarrhea, dehydration, vomiting, abdominal pain",Gastroenteritis,MEDIUM,GI
"I have been noticing sneezing, runny nose and congestion over the past 4 days.",sneezing|runny nose|congestion,"I have been noticing sneezing, runny nose and congestion over the past 4 days. Symptoms: sneezing, runny nose, congestion",Allergic Rhinitis,LOW,Allergy
"My main problems are headache, nausea and rash and it started 1 week ago.",headache|nausea|rash,"My main problems are headache, nausea and rash and it started 1 week ago. Symptoms: headache, nausea, rash",Dengue-like Viral Fever,MEDIUM,Fever
"I have been noticing vomiting, fever, appetite loss, nausea and excessive thirst over the past 4 days.",vomiting|fever|appetite loss|nausea|excessive thirst,"I have been noticing vomiting, fever, appetite loss, nausea and excessive thirst over the past 4 days. Symptoms: vomiting, fever, appetite loss, nausea, excessive thirst",Appendicitis Concern,HIGH,GI
"The pain has been abdominal pain, appetite loss, vomiting, fever, right lower abdominal pain and nausea for 3 days.",abdominal pain|appetite loss|vomiting|fever|right lower abdominal pain|nausea,"The pain has been abdominal pain, appetite loss, vomiting, fever, right lower abdominal pain and nausea for 3 days. Symptoms: abdominal pain, appetite loss, vomiting, fever, right lower abdominal pain, nausea",Appendicitis Concern,HIGH,GI
"For the last 1 week, I have been dealing with back pain, fever and frequent urination.",back pain|fever|frequent urination,"For the last 1 week, I have been dealing with back pain, fever and frequent urination. Symptoms: back pain, fever, frequent urination",Urinary Tract Infection,MEDIUM,Genitourinary
"The pain has been nausea, appetite loss, vomiting, right lower abdominal pain, fever and headache for 2 days.",nausea|appetite loss|vomiting|right lower abdominal pain|fever|headache,"The pain has been nausea, appetite loss, vomiting, right lower abdominal pain, fever and headache for 2 days. Symptoms: nausea, appetite loss, vomiting, right lower abdominal pain, fever, headache",Appendicitis Concern,HIGH,GI
"Over the last 1 week, I am experiencing runny nose, congestion, itchy eyes and sneezing.",runny nose|congestion|itchy eyes|sneezing,"Over the last 1 week, I am experiencing runny nose, congestion, itchy eyes and sneezing. Symptoms: runny nose, congestion, itchy eyes, sneezing",Allergic Rhinitis,LOW,Allergy
"Since 1 week, I have had headache, ear pain and sore throat.",headache|ear pain|sore throat,"Since 1 week, I have had headache, ear pain and sore throat. Symptoms: headache, ear pain, sore throat",Ear Infection,MEDIUM,ENT
"Over the last 3 days, I am experiencing cough, fever and wheezing.",cough|fever|wheezing,"Over the last 3 days, I am experiencing cough, fever and wheezing. Symptoms: cough, fever, wheezing",Bronchitis,MEDIUM,Respiratory
"I have swollen glands, fatigue, sore throat and bloating for 2 days.",swollen glands|fatigue|sore throat|bloating,"I have swollen glands, fatigue, sore throat and bloating for 2 days. Symptoms: swollen glands, fatigue, sore throat, bloating",Mononucleosis-like Illness,MEDIUM,Infectious
"I have headache, fever and bloating for 1 week.",headache|fever|bloating,"I have headache, fever and bloating for 1 week. Symptoms: headache, fever, bloating",Ear Infection,MEDIUM,ENT
"I have nausea, right lower abdominal pain, appetite loss, fever and congestion and the discomfort has been there for 4 days.",nausea|right lower abdominal pain|appetite loss|fever|congestion,"I have nausea, right lower abdominal pain, appetite loss, fever and congestion and the discomfort has been there for 4 days. Symptoms: nausea, right lower abdominal pain, appetite loss, fever, congestion",Appendicitis Concern,HIGH,GI
"My main problems are abdominal pain, heartburn and appetite loss and it started 5 days ago.",abdominal pain|heartburn|appetite loss,"My main problems are abdominal pain, heartburn and appetite loss and it started 5 days ago. Symptoms: abdominal pain, heartburn, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
I feel unusual pain around the left upper side of my abdomen for 1 week.,left upper abdominal pain,I feel unusual pain around the left upper side of my abdomen for 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I strained my back and now have lower back pain with stiffness for 1 week.,fatigue|stiffness|back pain|body ache|excessive thirst,"I strained my back and now have lower back pain with stiffness for 1 week. Symptoms: fatigue, stiffness, back pain, body ache, excessive thirst",Musculoskeletal Back Strain,LOW,Musculoskeletal
"My main problems are nausea, bloating, abdominal pain and appetite loss and it started 2 days ago.",nausea|bloating|abdominal pain|appetite loss,"My main problems are nausea, bloating, abdominal pain and appetite loss and it started 2 days ago. Symptoms: nausea, bloating, abdominal pain, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
Patient reports shortness of breath and chest pain since 2 days.,shortness of breath|chest pain,"Patient reports shortness of breath and chest pain since 2 days. Symptoms: shortness of breath, chest pain",Pneumonia,HIGH,Respiratory
"I have been noticing fatigue, stiffness and body ache over the past 2 days.",fatigue|stiffness|body ache,"I have been noticing fatigue, stiffness and body ache over the past 2 days. Symptoms: fatigue, stiffness, body ache",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Patient reports fatigue, cough, wheezing and congestion since 1 day.",fatigue|cough|wheezing|congestion,"Patient reports fatigue, cough, wheezing and congestion since 1 day. Symptoms: fatigue, cough, wheezing, congestion",Asthma Exacerbation,HIGH,Respiratory
"I have fever, abdominal pain, nausea, vomiting, appetite loss, right lower abdominal pain and heartburn and the discomfort has been there for 3 days.",fever|abdominal pain|nausea|vomiting|appetite loss|right lower abdominal pain|heartburn,"I have fever, abdominal pain, nausea, vomiting, appetite loss, right lower abdominal pain and heartburn and the discomfort has been there for 3 days. Symptoms: fever, abdominal pain, nausea, vomiting, appetite loss, right lower abdominal pain, heartburn",Appendicitis Concern,HIGH,GI
I have high blood sugar along with excessive thirst and frequent urination for 1 week.,excessive thirst|high blood sugar|frequent urination,"I have high blood sugar along with excessive thirst and frequent urination for 1 week. Symptoms: excessive thirst, high blood sugar, frequent urination",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"My main problems are nausea, heartburn and chills and it started 1 week ago.",nausea|heartburn|chills,"My main problems are nausea, heartburn and chills and it started 1 week ago. Symptoms: nausea, heartburn, chills",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have high blood sugar along with blurred vision, excessive thirst, frequent urination and fatigue for 3 days.",blurred vision|excessive thirst|frequent urination|fatigue|high blood sugar,"I have high blood sugar along with blurred vision, excessive thirst, frequent urination and fatigue for 3 days. Symptoms: blurred vision, excessive thirst, frequent urination, fatigue, high blood sugar",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
I have been noticing fatigue and blurred vision over the past 4 days.,fatigue|blurred vision,"I have been noticing fatigue and blurred vision over the past 4 days. Symptoms: fatigue, blurred vision",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Patient reports fever, fatigue, chest pain and heartburn since 1 week.",fever|fatigue|chest pain|heartburn,"Patient reports fever, fatigue, chest pain and heartburn since 1 week. Symptoms: fever, fatigue, chest pain, heartburn",Bronchitis,MEDIUM,Respiratory
"My symptoms are hard to describe, mostly pain around my spleen region for 4 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 4 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
